100;2553;2553;1.26525E-4
100;2553;2553;1.15101E-4
100;10098;4950;5.12486E-4
100;1282;789;1.18693E-4
100;0;0;5.159E-6
100;0;0;1.48988E-4
100;10098;4950;4.3515E-4
100;1282;789;2.1975E-5
100;0;0;4.81E-6
100;0;0;1.03052E-4
100;10098;4950;4.2296E-5
100;1282;789;2.7702E-5
100;0;0;3.721E-6
100;0;0;1.16002E-4
100;10098;4950;3.4027E-5
100;1282;789;1.7035E-5
100;0;0;3.633E-6
100;0;0;1.2427E-4
100;10098;4950;3.5035E-5
100;1282;789;1.5737E-5
100;0;0;4.72E-6
100;0;0;1.0266E-4
100;10098;4950;3.3892E-5
100;1282;789;1.6386E-5
200;9502;9502;4.35152E-4
200;9502;9502;3.99408E-4
200;40198;19900;1.4431E-4
200;2968;1878;5.6567E-5
200;0;0;7.135E-6
200;0;0;4.37328E-4
200;40198;19900;1.45741E-4
200;2968;1878;3.5226E-5
200;0;0;6.981E-6
200;0;0;8.7663E-5
200;40198;19900;1.37804E-4
200;2968;1878;3.6169E-5
200;0;0;8.282E-6
200;0;0;7.2277E-5
200;40198;19900;1.46207E-4
200;2968;1878;3.9141E-5
200;0;0;7.657E-6
200;0;0;7.1407E-5
200;40198;19900;1.46653E-4
200;2968;1878;3.8264E-5
200;0;0;7.578E-6
200;0;0;6.6215E-5
200;40198;19900;1.46073E-4
200;2968;1878;3.8033E-5
300;22684;22684;0.00116806
300;22684;22684;1.32131E-4
300;90298;44850;3.10215E-4
300;4778;3055;5.8381E-5
300;0;0;1.1376E-5
300;0;0;1.35263E-4
300;90298;44850;3.05447E-4
300;4778;3055;5.6813E-5
300;0;0;1.0487E-5
300;0;0;1.35514E-4
300;90298;44850;3.11506E-4
300;4778;3055;5.4682E-5
300;0;0;1.0257E-5
300;0;0;1.71019E-4
300;90298;44850;3.86137E-4
300;4778;3055;5.7054E-5
300;0;0;1.1942E-5
300;0;0;1.36252E-4
300;90298;44850;3.96345E-4
300;4778;3055;5.5132E-5
300;0;0;1.0072E-5
300;0;0;1.6043E-4
300;90298;44850;3.95881E-4
300;4778;3055;5.6855E-5
400;40960;40960;0.001372129
400;40960;40960;2.45267E-4
400;160398;79800;7.30467E-4
400;6730;4338;7.5918E-5
400;0;0;2.384E-6
400;0;0;2.30039E-4
400;160398;79800;7.09551E-4
400;6730;4338;7.5702E-5
400;0;0;2.278E-6
400;0;0;1.04978E-4
400;160398;79800;7.47168E-4
400;6730;4338;7.5706E-5
400;0;0;2.286E-6
400;0;0;7.6257E-5
400;160398;79800;7.24084E-4
400;6730;4338;7.525E-5
400;0;0;2.301E-6
400;0;0;7.677E-5
400;160398;79800;6.87968E-4
400;6730;4338;7.5695E-5
400;0;0;2.287E-6
400;0;0;7.5538E-5
400;160398;79800;6.81312E-4
400;6730;4338;1.04231E-4
500;59633;59633;2.51223E-4
500;59633;59633;1.41592E-4
500;250498;124750;1.67394E-4
500;8656;5672;9.6408E-5
500;0;0;2.97E-6
500;0;0;9.4271E-5
